date,1. open,2. high,3. low,4. close,5. volume
2019-02-12,100.0,101.89,99.02,100.26,581718.0
2019-02-13,101.38,101.8,97.87,98.29,649612.0
2019-02-14,97.75,100.7,97.23,99.29,759663.0
2019-02-15,99.79,100.73,98.33,100.3,716932.0
2019-02-19,100.4,101.87,99.2745,100.02,695805.0
2019-02-20,100.0,102.98,100.0,100.49,548031.0
2019-02-21,100.65,103.49,98.52,103.11,572517.0
2019-02-22,103.72,106.53,103.67,106.21,916009.0
2019-02-25,107.26,109.97,106.365,107.92,827198.0
2019-02-26,107.24,107.24,96.18,98.27,3330603.0
2019-02-27,97.19,101.25,97.07,100.48,1024030.0
2019-02-28,100.47,104.28,100.15,101.56,843438.0
2019-03-01,100.94,105.2,100.34,104.16,944707.0
2019-03-04,105.7,107.25,95.3,96.77,1642063.0
2019-03-05,96.79,101.2,96.08,101.03,979081.0
2019-03-06,101.35,102.0,95.5,97.09,1628014.0
2019-03-07,96.8,100.56,96.5,99.46,1284882.0
2019-03-08,96.99,101.34,96.0,99.8,904073.0
